#
# Full target list for orbit 71, sector 32
# Created Wed Feb  3 18:29:43 EST 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
   593228	2	1	 9.22	 71.8469	-27.8422
   593230	2	1	 8.28	 71.8448	-27.8406
   608932	2	1	 8.30	 72.1556	-24.9420
   614556	2	1	 8.04	 72.6756	-29.7782
   626529	2	1	16.47	 72.9738	-25.8208
   672624	2	1	 8.12	 73.5055	-27.0563
   737327	2	1	 9.15	 74.3700	-29.1630
   767943	2	1	 8.07	 74.8762	-29.3352
   770004	2	1	 8.03	 74.8995	-25.3694
  1235623	3	2	 8.07	 72.1040	-32.8703
  1273249	2	1	10.07	 72.6745	-31.2750
  1396359	3	2	 8.14	 74.2803	-33.6832
  1438316	2	1	 8.02	 74.5613	-30.9593
  1440684	3	2	 8.11	 74.8257	-35.6707
  1517807	3	2	10.03	 75.2232	-33.4080
  1528696	2	1	13.17	 75.7954	-30.3995
  4068716	1	2	11.25	 79.9551	 -4.6048
  4116436	1	2	 9.24	 80.3357	 -0.6079
  4205592	1	2	 8.20	 80.8418	 -2.0039
  4293565	1	2	 9.38	 81.3361	 -2.6108
  4357066	1	2	 9.43	 81.7213	 -0.1627
  7420438	3	4	 8.21	 81.2117	-45.3477
  7491381	3	4	 9.99	 82.2140	-46.4719
  7493647	3	4	 9.28	 82.3618	-44.2838
  7586485	3	2	 8.52	 63.5943	-38.3171
  7586966	3	2	 8.01	 63.5745	-36.2261
  7623047	3	2	 8.09	 64.0249	-39.6199
  7625199	3	2	11.35	 64.4165	-37.7737
  7647775	3	2	11.02	 64.4877	-38.4513
  7649668	3	2	 8.07	 64.7692	-41.7494
  7722646	3	2	 8.01	 66.2165	-38.3342
  7723060	3	2	11.22	 66.2334	-40.0502
  9149953	1	1	 8.30	 60.7454	 -0.0632
  9150015	1	1	 4.91	 60.6540	 -0.2704
  9176012	1	1	 9.95	 62.3128	 -4.9604
  9266461	1	1	15.76	 62.7591	 -3.9737
  9268360	1	1	14.14	 62.7924	 -0.8134
  9295107	2	4	 8.04	 72.5099	 -8.5596
  9354932	2	4	13.00	 73.0145	-10.9740
  9358354	2	4	14.29	 73.0554	 -9.2762
  9380488	1	1	 8.26	 73.1856	 -7.6517
 11049041	1	1	 8.37	 62.8366	 -2.9647
 11053001	1	1	 8.05	 65.6770	 -2.2443
 11201507	1	2	 8.02	 84.5787	 -3.5550
 11289814	1	2	 8.08	 84.7693	 -1.2308
 13021029	2	1	11.72	 75.2997	-26.0541
 13069774	2	1	11.93	 75.8936	-28.4547
 13072717	2	1	14.32	 75.9818	-28.9092
 13072758	2	1	12.22	 76.0884	-29.0342
 13133610	2	2	16.23	 76.5754	-24.0668
 13203779	2	2	 8.04	 77.2096	-25.5018
 13205578	2	2	 8.14	 77.3069	-28.0469
 13273388	2	2	 8.08	 78.2474	-29.6128
 13344668	2	2	12.67	 78.7198	-29.7296
