#
# Full target list for orbit 65, sector 29
# Created Wed Feb  3 18:29:36 EST 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
177310181	4	3	11.42	103.2385	-76.1480
177387396	4	3	16.17	104.9821	-73.3942
179201407	4	2	 8.27	 79.3173	-70.2596
179317684	4	2	10.87	 79.7683	-71.8955
179582003	4	2	10.23	 80.4515	-69.9882
179823154	2	3	 8.07	 13.5806	-38.2310
180999530	2	3	 8.41	 16.2613	-37.8378
181164356	2	2	 8.09	 16.5070	-39.4139
181165209	2	2	 8.13	 16.5263	-41.5005
183532609	2	4	 9.15	359.9011	-35.0313
183535256	2	3	 8.10	  5.5361	-38.3849
183537452	2	4	10.25	357.8791	-39.9073
183563578	2	3	 8.00	 11.5210	-37.8678
183584015	2	3	 8.29	 12.2458	-40.4977
183618947	2	2	 8.18	 18.6353	-40.5493
183675845	2	4	 8.02	358.2580	-40.0139
183676876	2	4	16.19	358.2542	-38.8633
183820328	2	4	15.01	358.4015	-36.5054
183979379	3	3	 8.01	 21.2915	-72.0535
183984209	2	4	 8.30	358.6988	-38.0931
183985250	2	4	 9.10	358.6694	-37.6284
184240683	2	4	11.55	359.3490	-41.2772
184533481	2	2	 8.14	 29.8310	-44.7419
188580272	1	4	 7.58	343.3254	-14.2676
188598946	1	4	 8.21	345.7628	-15.1185
188619138	1	4	14.12	349.8989	-17.0912
197787143	3	4	 8.17	 51.1228	-59.8483
197793057	3	4	 8.06	 51.8634	-57.1384
197829751	3	4	11.55	 54.1985	-55.7509
197844078	3	4	 8.15	 54.6373	-59.8206
197880458	3	4	 8.38	 55.9664	-54.0715
197908104	3	4	 8.12	 58.6794	-57.9394
197934579	3	4	 8.07	 59.4390	-56.2503
198003939	3	4	11.75	 59.8046	-59.6679
198034174	3	4	 7.47	 60.9705	-55.3999
198037452	3	4	 8.10	 61.5738	-55.2441
198076334	4	1	 8.21	 63.6505	-59.0896
198076680	4	1	11.87	 63.9519	-59.3761
198077325	3	4	 8.13	 63.9223	-56.5232
198081375	4	1	 8.03	 64.5252	-56.9971
199730918	2	2	 8.04	 21.2622	-45.6115
200656263	2	1	 8.38	  2.1123	-53.4431
200662899	2	1	 8.56	  2.6767	-50.9700
200671634	2	1	 8.02	  3.4266	-49.1984
200744877	3	4	 8.31	 49.5158	-52.8559
200779640	3	4	15.31	 50.5618	-53.7549
201177084	2	1	 8.01	357.9129	-53.8931
201229564	2	1	 8.10	359.0018	-47.9437
201233348	2	1	 8.24	359.6048	-50.9092
201248233	2	1	13.60	  0.3588	-55.6632
201248411	2	1	 9.90	  0.1851	-54.8309
201249058	2	1	 8.26	  0.5208	-56.5150
201287746	2	1	 9.73	  2.0687	-57.0983
201289286	2	1	11.58	  2.3298	-55.1000
201292296	2	1	10.90	  2.9524	-55.3660
201334108	2	1	 8.10	  4.7754	-56.4609
201753334	3	1	 8.09	 33.2079	-59.2894
201753428	3	1	10.77	 33.2434	-58.8551
201792346	3	1	12.33	 34.3657	-59.3815
201795667	3	1	11.29	 35.2152	-58.3948
201795994	3	1	11.13	 35.2798	-59.7996
201878287	3	4	11.15	 39.1418	-59.4656
201898220	3	1	11.94	 40.5179	-53.9834
201898664	3	1	 8.15	 40.6080	-56.1211
201919099	3	4	 9.71	 40.6385	-57.6603
201937751	3	4	 8.12	 41.8559	-58.2788
204314268	1	4	 8.02	345.6991	-19.3817
204317710	1	4	13.74	346.0751	-21.2720
204328293	1	4	13.95	347.1718	-21.7505
204351208	1	4	 8.09	347.4956	-23.1048
204376737	1	4	11.48	348.1571	-22.6742
204391423	1	4	 8.24	348.6616	-21.5963
206327797	2	1	 9.74	354.0650	-48.5837
206354321	2	1	 9.87	355.4313	-51.9451
206361691	2	1	 8.34	356.6283	-48.9580
206500773	2	1	 8.08	 15.8523	-54.1622
206534188	3	2	 8.04	 17.4191	-55.9465
206541859	3	2	10.57	 18.0486	-56.9254
206541995	3	2	16.02	 18.0882	-56.2411
206542524	3	2	11.28	 18.3222	-54.4865
206549835	3	2	 8.07	 18.5518	-59.5123
206584346	3	2	12.19	 20.0539	-55.2978
206590489	3	2	14.03	 20.4088	-55.5392
206592394	3	2	 7.91	 20.8396	-57.4810
206592567	3	2	 8.00	 20.9581	-56.6046
206609630	3	2	12.19	 22.5497	-59.5833
206652542	3	2	 8.40	 23.8970	-59.6568
207085743	2	2	14.38	 23.0529	-49.5613
207137122	3	4	 8.29	 43.5271	-56.7963
207141131	3	4	 8.18	 44.2619	-56.1918
207142885	3	4	15.60	 44.4496	-59.6476
207143940	3	4	 8.20	 44.5749	-55.2331
207176799	3	4	16.86	 47.1627	-58.0327
207199350	3	4	11.13	 47.4375	-57.5493
207200144	3	4	 8.12	 47.6113	-58.8280
207200679	3	4	14.35	 47.4512	-56.3967
207206762	3	4	 8.16	 48.4232	-56.0647
207207690	3	4	11.54	 48.6262	-55.8920
207238346	3	4	 8.42	 50.0516	-54.5472
211435345	1	2	 8.67	  4.6666	-22.0438
211437293	1	2	15.51	  4.8672	-21.8184
211438925	1	2	10.25	  5.1606	-23.9358
214657681	1	4	12.40	348.9741	-12.6199
218964090	1	1	 8.17	348.1538	-32.1069
218970233	1	1	15.62	348.8961	-35.4144
218970269	1	1	 8.07	348.8898	-35.2065
218973487	1	1	12.20	349.1019	-31.8438
218979514	1	1	 8.15	349.8696	-33.0304
218983421	1	1	 8.42	350.3120	-31.2374
219992932	3	1	 8.24	 31.0745	-51.1541
219998026	3	1	 8.05	 31.8261	-53.1992
220014931	3	1	 8.15	 32.0885	-53.4910
220020672	3	1	 8.52	 32.9812	-49.2201
220021331	3	1	12.99	 33.2998	-49.7483
220021405	3	1	14.40	 33.3017	-50.0778
220391375	4	1	 8.02	 68.1286	-56.2256
220391763	4	1	11.63	 68.2415	-57.6959
220411786	4	1	 8.06	 70.8635	-58.7895
220412239	4	1	 8.01	 70.8468	-57.0927
220414682	4	1	 8.71	 71.1125	-59.3213
220429730	4	1	17.38	 72.9714	-56.1524
220432563	4	1	11.30	 73.4336	-58.6065
220433363	4	1	 8.71	 73.3813	-55.8599
220433364	4	1	 9.43	 73.3788	-55.8584
220436223	4	1	 5.69	 73.7221	-58.5473
220454990	4	1	 8.23	 74.2749	-55.6125
220473309	4	1	 8.46	 75.1967	-57.2566
220473692	4	1	12.39	 75.1042	-58.5022
220476769	4	1	15.57	 75.5506	-56.6186
220477045	4	1	 8.01	 75.5281	-57.4834
220523140	3	3	 8.01	 42.2271	-65.2390
220539110	3	4	10.03	 43.4472	-61.5877
220554352	3	3	11.55	 43.7367	-64.6998
220561605	3	4	11.28	 45.1059	-62.4473
220563044	3	4	16.67	 45.3525	-62.9277
220567752	3	3	12.21	 46.2566	-65.7769
220570421	3	3	 8.14	 46.7636	-65.4492
220571386	3	4	 8.08	 46.8534	-62.1840
224225152	2	4	10.46	353.0022	-39.2947
224269420	2	4	10.89	354.2264	-36.4807
224270730	2	4	 9.80	354.5742	-41.5189
224272297	2	4	 8.04	354.6084	-39.0025
224283245	2	4	 8.10	356.3595	-40.9242
224284606	2	4	 8.02	356.4989	-37.9758
224285325	2	4	 7.05	356.6390	-41.5868
228381868	1	3	12.07	357.5807	-17.0776
228383349	1	3	 8.05	357.2996	-14.9192
229091700	2	1	 8.09	  3.7621	-45.9778
229092427	2	2	 4.43	 18.8018	-45.5306
229093048	2	2	 8.19	 19.0763	-42.4797
229097329	2	2	 8.19	 19.5938	-44.1971
229137615	3	1	 5.01	 25.6238	-53.7414
229144939	3	1	13.78	 26.8229	-51.5609
229147927	3	1	10.61	 27.1713	-48.5147
229147944	3	1	 8.16	 27.1872	-48.4138
229150702	3	1	 5.78	 27.7264	-50.2062
229152539	3	1	10.92	 28.2105	-48.0960
229156385	3	1	 8.02	 28.6403	-50.6215
229156509	3	1	16.19	 28.6497	-49.9165
229157718	3	1	 8.02	 28.9248	-52.1418
229159785	3	1	 5.62	 29.2532	-51.7648
230980624	3	1	 8.08	 24.2604	-54.5580
230982885	3	1	 9.97	 24.6054	-55.7720
230983365	3	2	 8.31	 24.7340	-58.5798
231005809	3	1	15.09	 25.1331	-55.7277
231013017	3	2	 9.06	 26.1969	-57.9507
231017428	3	1	 9.60	 27.1118	-56.9783
231020638	3	2	11.15	 27.7381	-58.7344
231046293	3	1	 8.70	 28.8263	-56.4142
231048083	3	1	 6.54	 28.9515	-55.0722
231048207	3	1	 8.26	 29.0379	-54.4029
231055581	3	1	 9.27	 30.1607	-55.9684
231061242	3	1	 6.08	 31.1473	-54.8818
231065613	3	1	 8.29	 31.7795	-55.1504
231091547	4	2	 9.02	 68.8387	-68.2292
231097055	4	2	10.57	 69.3867	-69.1873
231277305	3	1	 8.13	 42.1297	-51.5677
231738304	4	2	17.16	 67.0766	-72.5386
231739754	4	2	16.93	 67.2015	-75.6542
231799463	4	2	18.43	 78.2555	-70.4616
231828422	3	2	 8.00	 23.1302	-62.8435
231835378	3	2	11.39	 24.4218	-64.4489
231843574	3	2	 8.06	 25.7310	-64.9087
231853979	3	2	 8.04	 27.6539	-62.0706
231857003	3	2	12.04	 28.2317	-63.4917
231858068	3	2	11.40	 28.3482	-63.5723
231864125	3	2	 9.85	  5.7548	-60.2840
231910539	3	2	12.07	  6.8899	-61.9550
231912935	3	2	10.50	  7.3180	-63.7906
231914259	3	2	10.08	  7.6082	-62.6007
232073219	3	3	11.95	 28.5074	-69.7097
232073911	3	3	10.32	 28.2914	-66.8742
232074599	3	3	 8.02	 28.8254	-67.9115
232077453	3	3	11.46	 29.4458	-67.6337
233959986	3	3	 8.30	 31.6311	-64.3209
233961805	3	2	 8.13	 32.1980	-61.4366
234306874	3	3	 8.00	 35.0142	-69.4313
234307350	3	3	15.89	 34.8536	-71.6217
234345288	3	3	 9.78	 38.8875	-71.6243
234345946	3	3	15.61	 38.7314	-69.0602
234490176	3	2	10.67	  9.0949	-63.6799
234490974	3	2	14.28	  9.0959	-59.9236
234498473	3	2	 5.21	 10.6727	-65.6086
234502511	3	2	 8.20	 11.4659	-60.0053
234506911	3	2	10.77	 12.3998	-63.7952
234509975	3	2	11.42	 13.0439	-61.9229
234516309	3	2	10.64	 14.1950	-63.2827
234519192	3	2	 8.07	 14.5517	-64.7615
234522714	3	2	 8.04	 15.4131	-62.1623
234526939	3	2	11.10	 16.0247	-65.3752
234548714	3	2	 7.22	 17.0180	-61.8717
237885807	3	2	11.46	 20.6892	-63.3126
237909385	3	2	 8.41	 21.7576	-64.5798
237913194	3	2	11.49	 22.4459	-60.7399
237922465	3	4	12.43	 57.3390	-60.7872
237925095	3	4	16.82	 57.5368	-61.3137
237933451	3	4	 8.00	 58.8262	-65.2843
237935915	3	4	 8.07	 59.1474	-61.7081
237936374	3	4	10.32	 59.3246	-63.1724
237949640	4	4	 8.24	101.5943	-53.3422
238018220	4	4	17.09	102.9654	-53.0094
238060327	4	4	11.81	104.1960	-52.0739
238188583	4	2	 8.10	 55.2960	-73.9292
238195769	4	2	 8.06	 56.8381	-76.4212
238226712	4	2	15.60	 58.8241	-72.0646
238870892	3	3	 8.16	 38.0741	-72.1808
238891740	3	3	 8.11	 40.4747	-75.2381
240627401	1	4	14.66	339.3096	-15.5142
240715874	1	4	 8.23	340.0157	-17.8080
240720796	1	4	11.91	339.9024	-16.1299
240720896	1	4	 8.31	340.0384	-15.2703
240810401	1	4	13.00	340.6082	-16.3333
240811631	1	4	17.96	340.4139	-15.3761
240849748	1	4	10.72	340.9597	-16.4625
246821917	1	2	15.88	  4.6853	-25.6123
246848029	1	2	14.70	  5.4949	-24.4224
246848176	1	2	 8.00	  5.5587	-25.2151
246853154	1	2	 8.03	  6.0780	-28.9806
246891898	1	2	 8.07	  9.0064	-24.6185
246893356	1	2	 8.14	  9.0502	-26.7605
246894847	2	3	 8.00	  9.2518	-29.7114
246895813	1	2	 5.05	  9.3453	-24.7674
251821926	2	3	 8.05	  5.3881	-35.3603
251827934	2	3	 8.24	  6.2831	-31.8493
251845153	2	3	10.44	  6.9601	-32.5520
251848046	2	3	 8.07	  7.3472	-35.7255
251848941	2	3	10.42	  7.3023	-30.4542
251857373	2	3	16.42	  8.7079	-31.4980
251879735	2	3	 8.05	  9.9068	-32.6682
251883048	2	3	 9.38	 10.3029	-34.5341
254291941	1	1	 6.31	354.0400	-26.8763
254293054	1	1	 8.01	354.5144	-28.7603
254299284	1	1	11.39	355.1124	-28.0051
255560319	4	4	 8.44	 96.0715	-53.5756
255587619	4	4	10.66	 96.8409	-53.1030
257735735	3	2	 8.23	 30.1807	-63.4077
259863352	3	3	 7.13	 40.3667	-71.4628
259864042	3	3	14.76	 40.3256	-68.9237
259886373	3	3	 8.02	 41.0168	-68.1488
259901346	3	3	11.69	 41.5131	-70.4022
259929341	3	3	16.04	 42.4480	-67.0434
259962054	3	3	12.24	 43.0179	-67.6868
259963278	3	3	10.31	 43.3782	-71.3756
259974768	3	3	16.99	 43.2775	-67.4306
260002014	3	3	14.06	 44.0830	-70.3703
260004324	4	4	10.14	 91.0917	-55.3110
260078159	4	4	11.01	 91.9914	-55.3983
260079513	4	4	 8.05	 92.0713	-55.2384
260127606	4	4	 8.04	 92.0670	-57.9322
260128333	4	4	11.49	 92.1331	-59.5409
260162387	4	4	10.39	 92.8249	-55.5512
260266502	4	4	 7.29	 94.0637	-59.2205
260268898	4	4	11.06	 93.9849	-54.3055
260369118	4	4	14.87	 95.1606	-57.0939
260416268	4	4	 5.41	 95.7322	-56.3701
260639999	4	4	11.06	 97.9484	-56.9744
260640693	4	4	11.91	 97.8206	-58.3203
260709282	4	4	 8.01	 98.5248	-57.0860
260949692	4	2	 8.04	 73.3152	-78.1457
261138245	4	2	 8.09	 84.6684	-78.6479
261258146	4	2	 9.11	 89.7445	-78.2822
262530407	2	2	 9.49	 20.4382	-46.7148
262548040	2	2	14.32	 21.0189	-42.6804
262614905	4	3	11.16	116.6930	-62.8054
270376470	1	1	 8.21	343.7284	-27.8496
270409882	1	1	 8.35	348.2999	-25.5500
270410795	1	1	 8.33	348.2744	-29.5809
270458895	1	1	 8.21	353.4693	-25.7734
271698614	4	3	 8.09	109.9832	-76.6921
271723402	4	3	 8.68	110.3810	-72.7240
271893367	4	3	10.90	112.9653	-73.6060
271972426	4	3	12.22	114.0132	-75.4697
272086159	4	3	13.40	115.0035	-72.2050
272088627	4	3	 8.01	115.5212	-74.9482
272128326	4	3	 8.73	116.4173	-72.3239
272550198	4	3	 8.30	121.8219	-74.1817
273864083	3	3	 9.48	 31.8721	-66.5677
277018227	4	2	12.83	 83.8954	-70.4067
277108325	4	2	12.08	 84.2319	-68.8906
277291895	4	2	 8.12	 84.3617	-70.6849
277301936	4	2	 9.45	 84.5316	-68.4439
278683844	4	4	 9.28	 99.2386	-58.0165
278775103	4	4	 8.01	 99.7408	-55.2986
278777070	4	4	 8.01	 99.7440	-58.8360
278779899	4	4	 8.09	 99.9028	-55.6096
278865869	4	4	12.69	100.8613	-55.8314
278901108	4	4	10.87	101.1539	-54.6459
279248134	4	4	10.60	103.8372	-55.2617
279319721	4	4	 8.08	104.1986	-54.7954
279324004	4	4	 8.01	104.2197	-59.3788
279475245	4	4	11.94	105.0841	-59.0354
279510595	4	4	14.69	105.5816	-58.8347
279572957	4	4	10.66	106.0891	-57.1103
279727001	3	4	 8.67	 50.4668	-61.7988
279740818	3	3	 9.61	 51.7641	-65.8505
279741177	3	4	 8.05	 51.8501	-64.3308
279741379	3	4	 6.99	 51.7513	-63.5005
279741867	3	4	 9.03	 51.8219	-61.4779
280051011	3	3	 8.01	 43.5749	-73.4528
280052879	3	3	 8.11	 45.6084	-76.8680
280095254	3	3	 9.47	 46.1985	-73.3963
280098635	3	3	15.97	 47.1435	-73.4548
281459670	3	2	11.67	  5.6185	-59.9426
281540835	3	2	 8.03	  6.7046	-59.8780
281541555	2	1	13.04	  6.7027	-56.3161
281563487	2	1	 8.06	  7.2838	-55.6393
281575427	2	1	 9.45	  7.9755	-56.9651
281594636	2	1	15.84	  8.4006	-55.1444
281594845	2	1	 8.19	  8.2884	-54.1546
281599082	3	2	 8.14	  9.1357	-57.0951
281631335	4	3	 8.06	115.9742	-64.6232
281634912	4	3	 8.07	117.0799	-62.6768
281658096	2	1	13.28	 10.0556	-55.0312
281667171	3	2	 5.37	 10.1170	-59.4520
281670243	2	1	11.41	 10.5430	-54.7457
281709735	2	1	 8.05	 11.1248	-54.3132
281727553	3	2	 8.13	 11.5855	-58.2674
281781375	3	2	 9.22	 12.9763	-59.3439
281850414	3	2	 8.25	 14.4959	-55.2442
284195833	4	3	 8.17	105.5810	-69.3525
287298253	4	1	16.76	 82.2810	-66.0065
287298669	4	1	17.57	 82.2900	-66.2576
287298969	4	1	 7.88	 82.3553	-66.4390
287774787	4	3	 8.01	127.1335	-73.1539
289592081	1	3	 8.19	  1.7821	-15.8504
289593425	1	3	16.20	  1.8962	-16.0925
289713694	1	3	 8.00	  3.6266	-16.6718
293165262	4	1	14.51	 66.6217	-59.1027
293271232	4	4	 7.51	 98.6953	-63.2622
293271581	4	4	12.47	 98.9003	-62.6401
293937291	4	4	10.75	106.6325	-56.2168
294094184	4	4	10.61	107.4498	-55.9681
294097368	4	4	10.38	107.7067	-55.5610
294205275	4	4	 8.06	108.0761	-58.4033
294399068	4	4	 9.43	109.2452	-59.1228
294626591	4	2	 9.50	 70.4984	-70.5224
294750180	4	2	 9.02	 71.0440	-70.3240
294754396	4	1	10.71	 71.0049	-66.4008
294781547	4	2	10.39	 71.4841	-68.7618
294784092	4	2	 8.92	 71.2626	-70.6719
294977810	4	2	17.48	 72.4212	-69.2899
299887679	3	2	 8.40	 10.2096	-65.8574
300038935	4	3	 9.10	107.8437	-68.8333
300086410	4	3	16.98	107.8419	-70.7742
300138745	4	3	10.18	108.7551	-69.7720
300241371	4	3	 8.00	109.4017	-71.3342
300325379	4	3	 8.03	110.7053	-66.5388
300443029	4	3	10.47	111.6159	-70.8261
300510333	4	3	 9.67	112.2534	-70.2390
300560295	4	3	10.78	112.9157	-68.1332
300658296	4	3	 8.00	114.6477	-68.2706
300739852	4	3	10.21	115.1650	-69.1416
300808454	4	3	12.24	116.5623	-66.9862
300809119	4	3	 9.10	116.6859	-67.7500
300863975	4	3	18.22	117.1243	-67.7569
300970893	4	3	13.34	118.3063	-67.8006
302923993	3	3	 8.31	 34.9587	-63.5446
303317035	1	1	 8.14	351.4074	-29.5503
303584611	1	1	 6.75	352.1049	-25.4206
303584701	1	1	 8.53	351.8904	-24.2396
303821373	1	1	13.38	352.2519	-29.7795
304389446	1	1	14.07	352.9582	-28.8814
304391913	1	1	14.35	352.7653	-25.2633
305048087	1	1	13.41	353.2438	-29.4170
306574570	4	3	 9.90	119.3872	-71.2482
306577335	4	3	 8.11	119.3053	-67.6934
306739391	4	3	11.31	120.9705	-69.8810
306739511	4	3	 8.06	120.7380	-70.0301
306779124	4	3	10.22	121.5091	-71.0430
306826966	4	3	13.69	121.7288	-66.3063
306894095	4	3	12.35	121.9489	-70.2274
307087642	4	3	 8.84	123.5372	-66.0260
307091504	4	3	 7.71	123.7101	-69.6226
307210830	4	3	 9.41	124.5332	-68.3150
307434940	4	3	 9.60	125.8372	-71.0332
307780535	4	3	 8.05	127.9615	-68.3955
307785290	4	3	 8.09	128.2167	-70.4312
309658435	4	1	14.89	 79.0441	-60.9603
309702890	4	1	10.60	 79.7052	-65.0249
309703910	4	1	11.33	 79.7371	-64.0589
309755088	4	1	11.96	 79.7461	-60.5326
309791758	4	1	14.72	 80.1841	-61.4973
309792357	4	1	10.04	 80.1060	-59.8953
311086367	1	3	 8.23	352.2327	-14.3122
311403944	3	1	10.46	 36.1104	-47.1718
313936313	1	2	 8.67	  4.3563	-29.8210
314018646	2	4	10.74	  2.4397	-42.0277
314865962	3	3	10.35	 53.2817	-72.7440
316769815	1	1	 8.11	354.6109	-31.7796
319259194	4	2	 9.53	 71.6509	-78.5616
319611434	4	4	11.72	101.0788	-53.9632
321979116	2	4	12.77	  0.5495	-43.1693
322009509	2	1	15.25	  3.1793	-45.8544
322307342	3	2	11.78	 15.0061	-58.9047
326477466	1	4	 8.01	344.5698	-22.4053
327994213	1	2	 9.03	  0.3075	-21.4040
332486992	1	1	 8.10	350.2726	-25.2530
332519505	1	1	 8.01	351.1744	-27.7248
339598472	3	4	 8.19	 45.9498	-52.2485
